ablation,dataset,config,n_train,f1_macro,accuracy,ratio_vs_100pct,lora_r,trainable_params,f1_per_mparam,bottleneck_dim,pct_of_full_ft,n_prompt_tokens
A-DataSize,sst2,10%,699.0,0.358,0.5577,0.4292,,,,,,
A-DataSize,sst2,50%,3499.0,0.5569,0.6472,0.6676,,,,,,
A-DataSize,sst2,100%,6999.0,0.8342,0.8371,1.0,,,,,,
A-DataSize,ag_news,10%,699.0,0.5919,0.6157,0.6794,,,,,,
A-DataSize,ag_news,50%,3499.0,0.8516,0.8526,0.9775,,,,,,
A-DataSize,ag_news,100%,6999.0,0.8712,0.8721,1.0,,,,,,
A-DataSize,amazon,10%,699.0,0.4822,0.5787,0.5616,,,,,,
A-DataSize,amazon,50%,3499.0,0.8192,0.8201,0.9541,,,,,,
A-DataSize,amazon,100%,6999.0,0.8586,0.8586,1.0,,,,,,
B-LoRArank,sst2,r=4,,0.838,0.8406,,4.0,665858.0,1.2585,,,
B-LoRArank,sst2,r=8,,0.8342,0.8371,,8.0,739586.0,1.1279,,,
B-LoRArank,sst2,r=16,,0.8336,0.8366,,16.0,887042.0,0.9398,,,
B-LoRArank,sst2,r=32,,0.8348,0.8376,,32.0,1181954.0,0.7063,,,
B-LoRArank,ag_news,r=4,,0.8717,0.8726,,4.0,667396.0,1.3061,,,
B-LoRArank,ag_news,r=8,,0.8712,0.8721,,8.0,741124.0,1.1755,,,
B-LoRArank,ag_news,r=16,,0.8712,0.8721,,16.0,888580.0,0.9804,,,
B-LoRArank,ag_news,r=32,,0.8702,0.8711,,32.0,1183492.0,0.7353,,,
B-LoRArank,amazon,r=4,,0.8616,0.8616,,4.0,665858.0,1.294,,,
B-LoRArank,amazon,r=8,,0.8586,0.8586,,8.0,739586.0,1.1609,,,
B-LoRArank,amazon,r=16,,0.8596,0.8596,,16.0,887042.0,0.9691,,,
B-LoRArank,amazon,r=32,,0.8611,0.8611,,32.0,1181954.0,0.7285,,,
C-AdapterDim,sst2,dim=16,,0.8222,0.8281,,,324290.0,,16.0,0.484,
C-AdapterDim,sst2,dim=64,,0.8516,0.8531,,,1209602.0,,64.0,1.807,
C-AdapterDim,sst2,dim=128,,0.8555,0.8571,,,2390018.0,,128.0,3.57,
D-PromptLen,sst2,k=5,,0.5429,0.6387,,,595970.0,,,,5.0
D-PromptLen,sst2,k=10,,0.5409,0.6367,,,599810.0,,,,10.0
D-PromptLen,sst2,k=20,,0.4596,0.5992,,,607490.0,,,,20.0
D-PromptLen,sst2,k=50,,0.358,0.5577,,,630530.0,,,,50.0
