Method,Type,Dataset,Accuracy,F1_Macro,PPL_Proxy,Trainable_Params,Pct_Full_FT,Train_Time_s,Inference_ms,F1_Gap_vs_FullFT
TF-IDF + LR,Classical ML,SST-2,0.7946,0.7874,N/A,30662,0.046,0.3,0.0002,11.04
TF-IDF + LR,Classical ML,AG News,0.8956,0.8948,N/A,80000,0.119,1.7,0.0008,2.43
TF-IDF + LR,Classical ML,Amazon Polarity,0.8436,0.8434,N/A,40000,0.06,0.4,0.0004,6.56
TF-IDF + SVM,Classical ML,SST-2,0.8151,0.8112,N/A,30662,0.046,0.0,0.0001,8.66
TF-IDF + SVM,Classical ML,AG News,0.8986,0.8978,N/A,80000,0.119,0.2,0.0004,2.13
TF-IDF + SVM,Classical ML,Amazon Polarity,0.8451,0.8448,N/A,40000,0.06,0.1,0.0003,6.42
Zero-Shot,Zero-Shot,SST-2,0.6882,0.6465,N/A,0,0.0,0.0,12.181,25.13
Zero-Shot,Zero-Shot,AG News,0.3993,0.3468,N/A,0,0.0,0.0,14.833,57.23
Zero-Shot,Zero-Shot,Amazon Polarity,0.6447,0.6108,N/A,0,0.0,0.0,13.16,29.82
Full FT,Full FT,SST-2,0.8991,0.8978,1.34,66955010,100.0,68.8,0.126,0.0
Full FT,Full FT,AG News,0.9195,0.9191,1.2802,66956548,100.002,72.5,0.127,0.0
Full FT,Full FT,Amazon Polarity,0.909,0.909,1.2836,66955010,100.0,77.8,0.136,0.0
LoRA r=4,PEFT,SST-2,0.8406,0.838,1.4778,665858,0.994,54.9,0.172,5.98
LoRA r=4,PEFT,AG News,0.8726,0.8717,1.9075,667396,0.997,58.9,0.185,4.74
LoRA r=4,PEFT,Amazon Polarity,0.8616,0.8616,1.4662,665858,0.994,60.9,0.161,4.74
LoRA r=8,PEFT,SST-2,0.8371,0.8342,1.491,739586,1.105,56.0,0.214,6.36
LoRA r=8,PEFT,AG News,0.8721,0.8712,1.8673,741124,1.107,58.9,0.176,4.79
LoRA r=8,PEFT,Amazon Polarity,0.8586,0.8586,1.4679,739586,1.105,61.0,0.161,5.04
LoRA r=16,PEFT,SST-2,0.8366,0.8336,1.5009,887042,1.325,56.8,0.234,6.42
LoRA r=16,PEFT,AG News,0.8721,0.8712,1.856,888580,1.327,59.3,0.177,4.79
LoRA r=16,PEFT,Amazon Polarity,0.8596,0.8596,1.4829,887042,1.325,61.1,0.159,4.94
LoRA r=32,PEFT,SST-2,0.8376,0.8348,1.4914,1181954,1.765,57.1,0.218,6.3
LoRA r=32,PEFT,AG News,0.8711,0.8702,1.8439,1183492,1.768,59.6,0.18,4.89
LoRA r=32,PEFT,Amazon Polarity,0.8611,0.8611,1.4754,1181954,1.765,61.1,0.168,4.79
Adapter,PEFT,SST-2,0.8531,0.8516,1.4442,1209602,1.807,58.2,0.162,4.62
Adapter,PEFT,AG News,0.8666,0.8648,2.0474,1211140,1.809,60.0,0.169,5.43
Adapter,PEFT,Amazon Polarity,0.8626,0.8626,1.4149,1209602,1.807,61.6,0.179,4.64
Prompt Tuning,PEFT,SST-2,0.5992,0.4596,1.909,607490,0.907,51.9,0.119,43.82
Prompt Tuning,PEFT,AG News,0.8711,0.8701,2.6066,609028,0.91,54.8,0.117,4.9
Prompt Tuning,PEFT,Amazon Polarity,0.7346,0.7332,1.8737,607490,0.907,56.7,0.128,17.58
Soft Prompt,PEFT,SST-2,0.6142,0.4947,1.9069,607490,0.907,52.1,0.164,40.31
Soft Prompt,PEFT,AG News,0.8721,0.8711,2.3598,609028,0.91,55.0,0.128,4.8
Soft Prompt,PEFT,Amazon Polarity,0.7581,0.7571,1.8177,607490,0.907,56.6,0.115,15.19
