Backbone,Method,Type,Dataset,Accuracy,F1_Macro,Params,Params_pct,Inf_ms,Train_s
DistilBERT (66M),Full FT,Full FT,SST-2,0.8991,0.8978,66955010,100.0,0.126,68.8
DistilBERT (66M),LoRA r=8,PEFT,SST-2,0.8371,0.8342,739586,1.1046,0.214,56.0
DistilBERT (66M),Adapter,PEFT,SST-2,0.8531,0.8516,1209602,1.8066,0.162,58.2
DistilBERT (66M),Prompt Tuning,PEFT,SST-2,0.5992,0.4596,607490,0.9073,0.119,51.9
BERT-base (110M),Full FT,Full FT,SST-2,0.903,0.9018,109483778,100.0014,0.206,145.1
BERT-base (110M),LoRA r=8,PEFT,SST-2,0.5757,0.417,296450,0.2708,0.289,122.2
BERT-base (110M),Adapter,PEFT,SST-2,0.8571,0.8551,2380802,2.1746,0.443,123.5
BERT-base (110M),Prompt Tuning,PEFT,SST-2,0.5592,0.3618,16898,0.0154,0.236,133.2
DistilBERT (66M),Full FT,Full FT,AG News,0.9195,0.9191,66956548,100.0023,0.127,72.5
DistilBERT (66M),LoRA r=8,PEFT,AG News,0.8721,0.8712,741124,1.1069,0.176,58.9
DistilBERT (66M),Adapter,PEFT,AG News,0.8666,0.8648,1211140,1.8089,0.169,60.0
DistilBERT (66M),Prompt Tuning,PEFT,AG News,0.8711,0.8701,609028,0.9096,0.117,54.8
BERT-base (110M),Full FT,Full FT,AG News,0.9295,0.9294,109485316,100.0028,0.214,154.9
BERT-base (110M),LoRA r=8,PEFT,AG News,0.5307,0.5236,297988,0.2722,0.362,123.9
BERT-base (110M),Adapter,PEFT,AG News,0.7696,0.7583,2382340,2.176,0.297,124.8
BERT-base (110M),Prompt Tuning,PEFT,AG News,0.4658,0.4569,18436,0.0168,0.294,136.3
DistilBERT (66M),Full FT,Full FT,Amazon Polarity,0.909,0.909,66955010,100.0,0.136,77.8
DistilBERT (66M),LoRA r=8,PEFT,Amazon Polarity,0.8586,0.8586,739586,1.1046,0.161,61.0
DistilBERT (66M),Adapter,PEFT,Amazon Polarity,0.8626,0.8626,1209602,1.8066,0.179,61.6
DistilBERT (66M),Prompt Tuning,PEFT,Amazon Polarity,0.7346,0.7332,607490,0.9073,0.128,56.7
BERT-base (110M),Full FT,Full FT,Amazon Polarity,0.924,0.924,109483778,100.0014,0.292,160.2
BERT-base (110M),LoRA r=8,PEFT,Amazon Polarity,0.6242,0.6057,296450,0.2708,0.363,127.5
BERT-base (110M),Adapter,PEFT,Amazon Polarity,0.8906,0.8904,2380802,2.1746,0.297,127.0
BERT-base (110M),Prompt Tuning,PEFT,Amazon Polarity,0.5187,0.442,16898,0.0154,0.23,140.3
